data_extracao;linha;sentido;numero_sequencia;tipo;nome;endereco_logradouro;codigo
2025-11-19 01:58:34.480051;491;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. J DE CASTILHOS/VIGARIO;JULIO DE CASTILHOS                   ;1250
2025-11-19 01:58:34.480051;209;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. B. DE MEDEIROS DF Nº 688;BORGES DE MEDEIROS                   ;666
2025-11-19 01:58:34.480051;R9;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. B. DE MEDEIROS DF Nº 688;BORGES DE MEDEIROS                   ;666
2025-11-19 01:58:34.480051;251;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;221
2025-11-19 01:58:34.480051;341;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;86
2025-11-19 01:58:34.480051;3752;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;86
2025-11-19 01:58:34.480051;25611;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;75
2025-11-19 01:58:34.480051;25613;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;75
2025-11-19 01:58:34.480051;F993;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;BORGES DE MEDEIROS                   ;1672
2025-11-19 01:58:34.480051;168;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;222
2025-11-19 01:58:34.480051;254;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;212
2025-11-19 01:58:34.480051;2832;CENTROBAIRRO;1;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;86
2025-11-19 01:58:34.480051;2563;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM. BORGES DE MEDEIROS;AV BORGES DE MEDEIROS;75
2025-11-19 01:58:34.480051;165;CENTROBAIRRO;1;TERMINAL/PARADA;TERM.SEN.SALGADO FILHO;SENADOR SALGADO FILHO                ;202
2025-11-19 01:58:34.480051;3984;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL SENADOR SALGADO FILHO;SENADOR SALGADO FILHO                ;87
2025-11-19 01:58:34.480051;3944;CENTROBAIRRO;1;TERMINAL/PARADA;TERMINAL SENADOR SALGADO FILHO;SENADOR SALGADO FILHO                ;54
2025-11-19 01:58:34.480051;6612;CENTROBAIRRO;1;TERMINAL/PARADA;TERM.CENTRO PCA PEREIRA PAROBE;PEREIRA PAROBE                       ;166
2025-11-19 01:58:34.480051;429;BAIRROCENTRO;99999;TERMINAL/PARADA;TERM.CENTRO PCA PEREIRA PAROBE;PEREIRA PAROBE                       ;159
2025-11-19 01:58:34.480051;2801;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM.PROF.CECILIA CORSEUIL,285;PROF CECILIA CORSEUIL                ;3743
2025-11-19 01:58:34.480051;2801;CENTROBAIRRO;99999;TERMINAL/PARADA;TERM.PROF.CECILIA CORSEUIL,285;PROF CECILIA CORSEUIL                ;3743
2025-11-19 01:58:34.480051;T4;SULNORTE;1;TERMINAL/PARADA;TERM.SUL AV DIARIO DE NOTICIAS;DIARIO DE NOTICIAS                   ;3950
2025-11-19 01:58:34.480051;286;TERMINALBAIRRO;1;TERMINAL/PARADA;TERM AV DIÁRIO DE NOTÍCIAS;DIARIO DE NOTICIAS                   ;28688
2025-11-19 01:58:34.480051;T1D;NORTESUL;99999;TERMINAL/PARADA;TERMINAL AV.LOUREIRO DA SILVA;LOUREIRO DA SILVA                    ;9843
2025-11-19 01:58:34.480051;189;BAIRROCENTRO;1;TERMINAL/PARADA;TERM.BAIRRO RUA DA FE;FE                                   ;1870
